P1H9f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.792023,-162.364,2097.73,0.00246091,0.00663225,0.000645772
P1H8f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.818268,-121.724,2097.83,0.00246091,0.00663225,0.000645772
P1H7f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.844512,-81.084,2097.93,0.00246091,0.00663225,0.000645772
P1H6f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.870756,-40.444,2098.03,0.00246091,0.00663225,0.000645772
P1H5f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.897,0.196,2098.13,0.00246091,0.00663225,0.000645772
P1H4f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.923244,40.836,2098.23,0.00246091,0.00663225,0.000645772
P1H3f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.949488,81.476,2098.33,0.00246091,0.00663225,0.000645772
P1H2f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-0.975733,122.116,2098.43,0.00246091,0.00663225,0.000645772
P1H1f,8,5.08,4.7625,1.5708,1.27,368.3,43.18,-1.00198,162.756,2098.53,0.00246091,0.00663225,0.000645772
P1H9b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.792023,-162.364,2102.13,0.00246091,0.00663225,0.000645772
P1H8b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.818268,-121.724,2102.23,0.00246091,0.00663225,0.000645772
P1H7b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.844512,-81.084,2102.33,0.00246091,0.00663225,0.000645772
P1H6b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.870756,-40.444,2102.43,0.00246091,0.00663225,0.000645772
P1H5b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.897,0.196,2102.53,0.00246091,0.00663225,0.000645772
P1H4b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.923244,40.836,2102.63,0.00246091,0.00663225,0.000645772
P1H3b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.949488,81.476,2102.73,0.00246091,0.00663225,0.000645772
P1H2b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-0.975733,122.116,2102.83,0.00246091,0.00663225,0.000645772
P1H1b,8,5.08,4.7625,1.5708,-1.27,368.3,43.18,-1.00198,162.756,2102.93,0.00246091,0.00663225,0.000645772
H4Y1L,16,23.16,23.4775,1.5708,0,152.4,365.797,66.04,0,2130.27,0,0,0
H4Y1R,16,23.16,23.4775,1.5708,0,152.4,365.797,-66.04,0,2146.45,0,0,0
P1V9f,8,5.08,4.7625,0,1.27,43.18,368.3,-164.706,-1.32367,2174.07,0.00387463,-0.00101229,0.000785398
P1V8f,8,5.08,4.7625,0,1.27,43.18,368.3,-124.066,-1.29176,2174.11,0.00387463,-0.00101229,0.000785398
P1V7f,8,5.08,4.7625,0,1.27,43.18,368.3,-83.426,-1.25984,2174.15,0.00387463,-0.00101229,0.000785398
P1V6f,8,5.08,4.7625,0,1.27,43.18,368.3,-42.786,-1.22792,2174.19,0.00387463,-0.00101229,0.000785398
P1V5f,8,5.08,4.7625,0,1.27,43.18,368.3,-2.146,-1.196,2174.23,0.00387463,-0.00101229,0.000785398
P1V4f,8,5.08,4.7625,0,1.27,43.18,368.3,38.494,-1.16408,2174.27,0.00387463,-0.00101229,0.000785398
P1V3f,8,5.08,4.7625,0,1.27,43.18,368.3,79.134,-1.13216,2174.31,0.00387463,-0.00101229,0.000785398
P1V2f,8,5.08,4.7625,0,1.27,43.18,368.3,119.774,-1.10024,2174.35,0.00387463,-0.00101229,0.000785398
P1V1f,8,5.08,4.7625,0,1.27,43.18,368.3,160.414,-1.06833,2174.39,0.00387463,-0.00101229,0.000785398
P1V9b,8,5.08,4.7625,0,-1.27,43.18,368.3,-164.706,-1.32367,2178.47,0.00387463,-0.00101229,0.000785398
P1V8b,8,5.08,4.7625,0,-1.27,43.18,368.3,-124.066,-1.29176,2178.51,0.00387463,-0.00101229,0.000785398
P1V7b,8,5.08,4.7625,0,-1.27,43.18,368.3,-83.426,-1.25984,2178.55,0.00387463,-0.00101229,0.000785398
P1V6b,8,5.08,4.7625,0,-1.27,43.18,368.3,-42.786,-1.22792,2178.59,0.00387463,-0.00101229,0.000785398
P1V5b,8,5.08,4.7625,0,-1.27,43.18,368.3,-2.146,-1.196,2178.63,0.00387463,-0.00101229,0.000785398
P1V4b,8,5.08,4.7625,0,-1.27,43.18,368.3,38.494,-1.16408,2178.67,0.00387463,-0.00101229,0.000785398
P1V3b,8,5.08,4.7625,0,-1.27,43.18,368.3,79.134,-1.13216,2178.71,0.00387463,-0.00101229,0.000785398
P1V2b,8,5.08,4.7625,0,-1.27,43.18,368.3,119.774,-1.10024,2178.75,0.00387463,-0.00101229,0.000785398
P1V1b,8,5.08,4.7625,0,-1.27,43.18,368.3,160.414,-1.06833,2178.79,0.00387463,-0.00101229,0.000785398
H4Y2L,16,23.16,23.4775,1.5708,0,152.4,365.797,66.04,0,2200.44,0,0,0
H4Y2R,16,23.16,23.4775,1.5708,0,152.4,365.797,-66.04,0,2216.62,0,0,0
H4T,16,19.33,19.6475,0,0,304.518,182.88,-0.294042,90.7328,2234.29,-0.00673174,0.00240506,-0.00010821
H4B,16,19.33,19.6475,0,0,304.518,182.88,-0.274918,-92.0383,2251.71,-0.00673174,0.00240506,-0.00010821
P2V1f,8,5.08,4.7625,0,1.27,43.18,368.3,159.606,-1.28567,2366.94,-0.000750492,0.000593412,-0.000785398
P2V2f,8,5.08,4.7625,0,1.27,43.18,368.3,118.966,-1.25376,2366.97,-0.000750492,0.000593412,-0.000785398
P2V3f,8,5.08,4.7625,0,1.27,43.18,368.3,78.326,-1.22184,2366.99,-0.000750492,0.000593412,-0.000785398
P2V4f,8,5.08,4.7625,0,1.27,43.18,368.3,37.686,-1.18992,2367.02,-0.000750492,0.000593412,-0.000785398
P2V5f,8,5.08,4.7625,0,1.27,43.18,368.3,-2.954,-1.158,2367.04,-0.000750492,0.000593412,-0.000785398
P2V6f,8,5.08,4.7625,0,1.27,43.18,368.3,-43.594,-1.12608,2367.06,-0.000750492,0.000593412,-0.000785398
P2V7f,8,5.08,4.7625,0,1.27,43.18,368.3,-84.234,-1.09416,2367.09,-0.000750492,0.000593412,-0.000785398
